2026-08-05 21:09:03.827 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:05.962 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:08.081 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:10.217 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:12.330 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:14.474 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:16.615 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:18.762 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:20.889 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:23.010 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
2026-08-05 21:09:25.129 live_captions.py[123] _read_caption_window -> Find Control Timeout(0.08s): {AutomationId: 'CaptionsScrollViewer', ClassName: 'ScrollViewer', timeout: 0.05}
